timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1754977400025349400,-0.602963387966156,-1.8436694145202637,195.1003074645996,205.33073902130127,151.23926639556885,164.5607167482376,119.0,74.5,1,1,0,0
1754977400050150000,-0.2805287837982178,-2.1655070781707764,174.34534549713135,199.6209329366684,174.34534549713135,173.41588497161865,120.0,75.5,1,1,0,0
1754977400084806100,-0.6658225655555725,-1.8184809684753418,203.21728706359863,214.20610427856445,174.34534549713135,173.41588497161865,119.5,70.5,1,1,0,0
1754977400132175600,-0.4552727937698364,-2.4412193298339844,138.50476741790771,142.6894211769104,151.23926639556885,164.5607167482376,118.0,77.0,1,1,0,0
1754977400154313600,-0.4552727937698364,-2.4412193298339844,138.50476741790771,142.6894211769104,174.34534549713135,173.41588497161865,123.5,79.5,1,1,0,0
1754977400176538600,-0.4521353840827942,-2.1447038650512695,158.23762893676758,173.11453878879547,158.23762893676758,173.11453878879547,124.5,70.0,1,1,0,0
1754977400212642400,-0.5335385203361511,-1.912320852279663,191.5024709701538,207.1395081281662,158.23762893676758,173.11453878879547,124.5,70.5,1,1,0,0
1754977400244748600,-0.47372210025787354,-2.7579073905944824,130.07732391357422,108.9116844534874,158.23762893676758,173.11453878879547,121.0,74.5,1,1,0,0
1754977400292581700,-0.4197593331336975,-2.3937230110168457,141.24036312103271,139.90762174129486,158.23762893676758,173.11453878879547,116.0,71.0,1,1,0,0
1754977400319441700,-0.47682809829711914,-1.9164693355560303,200.58234214782715,214.24376249313354,158.23762893676758,173.11453878879547,115.0,77.0,1,1,0,0
1754977400350652700,-0.8006680607795715,-2.798734188079834,201.03415489196777,147.24670886993408,158.23762893676758,173.11453878879547,118.0,65.5,1,1,0,0
1754977400373128800,-1.9448031187057495,-4.973098278045654,645.6170654296875,376.6476774215698,158.23762893676758,173.11453878879547,107.0,54.0,1,1,0,0
1754977400404262200,-1.767889142036438,-4.892518043518066,554.3478584289551,328.8874053955078,200.58234214782715,173.11453878879547,107.5,53.5,1,1,0,0
1754977400452946100,-1.8220404386520386,-5.083725452423096,596.4205169677734,356.6959047317505,201.03415489196777,173.11453878879547,108.5,60.0,1,1,0,0
1754977400484318800,-1.8721048831939697,-5.518248558044434,626.535472869873,390.1341462135315,554.3478584289551,328.8874053955078,99.0,60.0,1,1,0,0
1754977400533229100,-2.0058958530426025,-4.891294002532959,678.3285140991211,391.7560565471649,554.3478584289551,328.8874053955078,114.5,61.5,1,1,0,0
1754977400554631000,-2.0869152545928955,-4.973694324493408,753.9583396911621,432.649530172348,596.4205169677734,356.6959047317505,114.5,70.5,1,1,0,0
1754977400581363200,-1.9377166032791138,-5.478470325469971,664.4080352783203,403.86330127716064,626.535472869873,390.1341462135315,104.0,64.5,1,1,0,0
1754977400612351100,-1.7766646146774292,-5.4656829833984375,580.4875946044922,365.0431215763092,580.4875946044922,365.0431215763092,113.0,73.0,1,1,0,0
1754977400644470300,-1.9229471683502197,-6.028420925140381,610.6265258789062,412.0707964897156,610.6265258789062,390.1341462135315,113.5,62.5,1,1,0,0
1754977400692598400,-1.9629567861557007,-6.9839558601379395,555.4877471923828,462.6832437515259,610.6265258789062,390.1341462135315,110.5,67.0,1,1,0,0
1754977400714876500,-2.1546502113342285,-7.318393230438232,587.9925155639648,489.61260080337524,587.9925155639648,390.1341462135315,106.0,66.5,1,1,0,0
1754977400743550700,-2.031437397003174,-6.651790142059326,592.1824264526367,445.2704393863678,592.1824264526367,412.0707964897156,106.5,63.0,1,1,0,0
1754977400772365000,-1.8079825639724731,-6.182013034820557,484.2604637145996,380.39238452911377,587.9925155639648,390.1341462135315,103.0,73.0,1,1,0,0
1754977400804343900,-2.1377320289611816,-7.27675199508667,547.2234535217285,482.9859459400177,587.9925155639648,412.0707964897156,116.5,58.5,1,1,0,0
1754977400852671000,-1.9730099439620972,-6.420068264007568,536.6916275024414,419.40043687820435,587.9925155639648,412.0707964897156,110.0,70.5,1,1,0,0
1754977400885311200,-1.8513987064361572,-7.687856674194336,411.34986877441406,500.75904607772827,547.2234535217285,412.0707964897156,116.0,65.0,1,1,0,0
1754977400933039300,-1.7584080696105957,-7.814235210418701,372.4503707885742,500.08374094963074,547.2234535217285,419.40043687820435,117.0,59.5,1,1,0,0
1754977400957467900,-1.709926724433899,-7.890470504760742,360.56307792663574,498.6139762401581,536.6916275024414,419.40043687820435,117.0,65.5,1,1,0,0
1754977400978486500,-2.070298433303833,-7.8017191886901855,468.89591217041016,506.8648910522461,468.89591217041016,498.6139762401581,116.0,62.5,1,1,0,0
1754977401012017600,-2.0626468658447266,-8.234776496887207,463.3860111236572,489.647136926651,468.89591217041016,489.647136926651,113.0,57.0,1,1,0,0
1754977401044864800,-1.7468632459640503,-8.975642204284668,299.76877212524414,496.28702044487,468.89591217041016,496.28702044487,102.5,59.0,1,1,0,0
1754977401092550000,-1.9255695343017578,-8.294206619262695,428.4993267059326,498.1047213077545,468.89591217041016,498.1047213077545,101.0,58.0,1,1,0,0
1754977401116330900,-2.0573580265045166,-8.504351615905762,448.82838249206543,505.9786033630371,463.3860111236572,496.28702044487,101.0,56.0,1,1,0,0
1754977401143812500,-1.9462319612503052,-9.423720359802246,296.5392208099365,460.41683077812195,448.82838249206543,496.28702044487,107.5,54.5,1,1,0,0
1754977401173572800,-1.9505020380020142,-9.015155792236328,349.6266174316406,492.8001594543457,448.82838249206543,496.28702044487,105.0,59.0,1,1,0,0
1754977401204488300,-2.176290273666382,-9.5797700881958,354.39974784851074,468.376168012619,448.82838249206543,496.28702044487,101.5,61.5,1,1,0,0
1754977401252143100,-2.1209352016448975,-8.922715187072754,425.9951591491699,502.35533595085144,425.9951591491699,496.28702044487,106.5,61.0,1,1,0,0
1754977401284218500,-1.5007535219192505,-7.461617946624756,375.0318717956543,474.0534174442291,425.9951591491699,496.28702044487,107.5,55.5,1,1,0,0
1754977401332804500,-1.435742735862732,-8.679370880126953,275.9146499633789,505.0208294391632,425.9951591491699,496.28702044487,108.5,63.0,1,1,0,0
1754977401357890700,-1.435742735862732,-8.679370880126953,275.9146499633789,505.0208294391632,425.9951591491699,496.28702044487,108.5,55.5,1,1,0,0
1754977401385923600,-1.573431372642517,-8.41535472869873,334.62289810180664,519.6623754501343,375.0318717956543,496.28702044487,97.5,59.5,1,1,0,0
1754977401416870900,-1.8092906475067139,-7.655536651611328,474.2978096008301,488.0144762992859,425.9951591491699,496.28702044487,102.5,57.5,1,1,0,0
1754977401444326700,-1.699126124382019,-7.304808139801025,441.12035751342773,476.8914306163788,425.9951591491699,496.28702044487,102.5,56.0,1,1,0,0
1754977401492676500,-1.5326727628707886,-8.656413078308105,310.61479568481445,523.8939356803894,375.0318717956543,496.28702044487,104.5,58.0,1,1,0,0
1754977401514106500,-1.5356045961380005,-8.386706352233887,329.68786239624023,536.1350762844086,425.9951591491699,496.28702044487,104.0,58.0,1,1,0,0
1754977401536704200,-1.4946850538253784,-9.259873390197754,247.37431526184082,560.6454563140869,375.0318717956543,496.28702044487,108.0,56.0,1,1,0,0
1754977401572113200,-1.6346582174301147,-9.074469566345215,299.1837501525879,535.6832098960876,329.68786239624023,523.8939356803894,103.5,56.5,1,1,0,0
1754977401604344200,-1.5904028415679932,-9.667264938354492,228.81832122802734,560.6787371635437,329.68786239624023,535.6832098960876,104.5,63.5,1,1,0,0
1754977401652341000,-1.5543962717056274,-8.844904899597168,294.61034774780273,552.5928425788879,299.1837501525879,535.6832098960876,110.0,60.0,1,1,0,0
1754977401684135700,-1.7409143447875977,-10.021590232849121,228.02627563476562,501.9669735431671,299.1837501525879,523.8939356803894,104.5,58.0,1,1,0,0
1754977401731984000,-1.4161555767059326,-9.938088417053223,189.5007562637329,571.7604875564575,294.61034774780273,535.6832098960876,104.5,60.5,1,1,0,0
1754977401753699100,-1.4161555767059326,-9.938088417053223,189.5007562637329,571.7604875564575,294.61034774780273,535.6832098960876,101.0,53.5,1,1,0,0
1754977401783634600,-1.3492482900619507,-9.191680908203125,215.26904582977295,611.3627672195435,228.02627563476562,535.6832098960876,106.0,60.0,1,1,0,0
1754977401812238100,-1.4630779027938843,-10.005329132080078,187.29409217834473,562.1807527542114,215.26904582977295,562.1807527542114,101.0,61.5,1,1,0,0
1754977401844935700,-1.3319875001907349,-9.516950607299805,209.7425937652588,617.7214694023132,215.26904582977295,562.1807527542114,105.5,63.0,1,1,0,0
1754977401892636700,-1.2866708040237427,-9.6014986038208,197.56962776184082,589.4407939910889,215.26904582977295,562.1807527542114,110.5,60.0,1,1,0,0
1754977401915513000,-1.276862382888794,-9.679582595825195,183.8352870941162,612.8468871116638,209.7425937652588,562.1807527542114,110.5,60.5,1,1,0,0
1754977401937051300,-1.356434941291809,-8.03290843963623,304.3007755279541,542.6115489006042,215.26904582977295,562.1807527542114,105.0,49.5,1,1,0,0
1754977401972572100,-1.259176254272461,-8.601899147033691,233.87349128723145,611.760721206665,215.26904582977295,562.1807527542114,104.5,50.0,1,1,0,0
1754977402004063100,-1.4037739038467407,-8.48536491394043,264.6419906616211,587.5065779685974,215.26904582977295,562.1807527542114,101.0,62.5,1,1,0,0
1754977402052422800,-0.920789361000061,-8.688115119934082,193.85845184326172,619.7150373458862,215.26904582977295,562.1807527542114,101.5,62.0,1,1,0,0
1754977402083593000,-0.6247262358665466,-8.271597862243652,156.76234245300293,619.3233275413513,215.26904582977295,587.5065779685974,101.0,52.0,1,1,0,0
1754977402132975500,-0.9531112313270569,-7.696747779846191,245.5664348602295,521.0218691825867,215.26904582977295,562.1807527542114,109.0,59.5,1,1,0,0
1754977402153922300,-0.8646036982536316,-8.032629013061523,217.19836235046387,561.4709115028381,215.26904582977295,562.1807527542114,108.5,61.0,1,1,0,0
